bcr_sample_barcode	bcr_aliquot_barcode	amount	biospecimen_barcode_bottom	concentration	day_of_shipment	month_of_shipment	plate_column	plate_row	year_of_shipment
TCGA-12-0707-01A	TCGA-12-0707-01A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	3	D	2008
TCGA-12-0707-01A	TCGA-12-0707-01A-01T-0341-07	10 uL	null	0.100 ug/uL	7	5	2	F	2008
TCGA-12-0707-01A	TCGA-12-0707-01A-01R-0338-01	17.6 uL	null	0.108 ug/uL	8	5	2	F	2008
TCGA-12-0707-01A	TCGA-12-0707-01A-01R-0339-03	22.7 uL	null	0.108 ug/uL	9	5	2	F	2008
TCGA-12-0707-01A	TCGA-12-0707-01A-01R-0340-07	18.2 uL	null	0.108 ug/uL	8	5	2	F	2008
TCGA-12-0707-10A	TCGA-12-0707-10A-01W-0411-09	10 uL	null	.5 ug/uL	19	11	6	B	2008
TCGA-12-0707-10A	TCGA-12-0707-10A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	7	G	2008
TCGA-12-0707-10A	TCGA-12-0707-10A-01W-0410-10	10 uL	null	.5 ug/uL	20	11	6	B	2008
TCGA-12-0707-10A	TCGA-12-0707-10A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	7	G	2008
TCGA-12-0707-10A	TCGA-12-0707-10A-01W-0409-08	10 uL	null	.5 ug/uL	20	11	6	B	2008
TCGA-12-0707-10A	TCGA-12-0707-10A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	7	G	2008
TCGA-12-0707-10A	TCGA-12-0707-10A-01D-0334-04	23.5 uL	null	0.177 ug/uL	9	5	6	E	2008
TCGA-12-0707-10A	TCGA-12-0707-10A-01D-1003-01	3.33 uL	null	0.177 ug/uL	20	5	9	E	2010
TCGA-12-0707-10A	TCGA-12-0707-10A-01D-0333-01	5.9 uL	null	0.177 ug/uL	7	5	6	E	2008
TCGA-12-0707-10A	TCGA-12-0707-10A-01D-0335-06	11.8 uL	null	0.177 ug/uL	7	5	6	E	2008
TCGA-12-0707-10A	TCGA-12-0707-10A-01D-0336-02	17.6 uL	null	0.177 ug/uL	7	5	6	E	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01T-0341-07	10 uL	null	0.100 ug/uL	7	5	3	E	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01R-0339-03	14.7 uL	null	0.194 ug/uL	9	5	3	F	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01R-0338-01	17.6 uL	null	0.194 ug/uL	8	5	3	F	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01R-0677-04	4 uL	null	0.194 ug/uL	29	10	7	H	2009
TCGA-12-0769-01A	TCGA-12-0769-01A-01R-0340-07	11.8 uL	null	0.194 ug/uL	8	5	3	F	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	4	G	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01W-0409-08	10 uL	null	.5 ug/uL	20	11	3	E	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01W-0410-10	10 uL	null	.5 ug/uL	20	11	3	E	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	4	G	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01W-0411-09	10 uL	null	.5 ug/uL	19	11	3	E	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	4	G	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01D-0333-01	5.9 uL	null	0.190 ug/uL	7	5	3	H	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01D-0336-02	17.6 uL	null	0.190 ug/uL	7	5	3	H	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01D-0334-04	23.5 uL	null	0.190 ug/uL	9	5	3	H	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01D-0335-06	11.8 uL	null	0.190 ug/uL	7	5	3	H	2008
TCGA-12-0769-01A	TCGA-12-0769-01A-01D-0337-05	11.8 uL	null	0.190 ug/uL	7	5	3	H	2008
