Hybridization REF	TCGA-06-0680-11A-01T-0345-07
Reporter REF	Quantile_Normalized
A_25_P00010194	5.79173016032314
A_25_P00010195	5.80904248401028
A_25_P00010196	6.52004356606527
A_25_P00010197	6.10964902211809
A_25_P00010198	9.4035302672459
A_25_P00010199	9.41155280643794
A_25_P00010200	5.6890963068158
A_25_P00010201	5.73457437138302
A_25_P00010204	13.1861736374565
A_25_P00010205	11.4872400250718
A_25_P00010206	6.51755056682533
A_25_P00010207	6.18619236391101
A_25_P00010208	5.89453094360793
A_25_P00010209	6.02221210606039
A_25_P00010210	9.96778598867662
A_25_P00010211	9.57861022835792
A_25_P00010212	7.82892177575919
A_25_P00010213	8.79655040670022
A_25_P00010214	6.31373115297853
A_25_P00010219	5.76449151026566
A_25_P00010220	6.01961226275049
A_25_P00010221	5.88115161481222
A_25_P00010222	5.82891087383595
A_25_P00010223	6.27273709979615
A_25_P00010224	6.21260282488479
A_25_P00010225	6.52337156978463
A_25_P00010226	6.18177524187728
A_25_P00010227	6.53145287147955
A_25_P00010228	6.22998305418195
A_25_P00010229	6.37052162619948
A_25_P00010230	7.4022248862238
A_25_P00010231	7.33167066290711
A_25_P00010232	7.34019857343961
A_25_P00010233	5.90130098065224
A_25_P00010234	5.88176772923013
A_25_P00010235	5.92337939975474
A_25_P00010236	6.25512343099397
A_25_P00010237	6.25464583918628
A_25_P00010238	11.6264183597602
A_25_P00010239	6.12711687123236
A_25_P00010244	5.7693048455068
A_25_P00010245	5.77947527311492
A_25_P00010246	8.3974586569851
A_25_P00010247	8.45890742010072
A_25_P00010248	8.66641692065846
A_25_P00010249	8.54369190908855
A_25_P00010258	5.79110207356958
A_25_P00010259	5.79076218989918
A_25_P00010260	5.81750855924675
A_25_P00010261	5.79103115433525
A_25_P00010262	7.04680655049142
A_25_P00010263	6.04156698941316
A_25_P00010264	5.82547131457576
A_25_P00010265	5.83726561371619
A_25_P00010266	5.7089451422046
A_25_P00010267	5.73197002072695
A_25_P00010268	5.76813410354757
A_25_P00010269	5.72171318639947
A_25_P00010270	6.67030222633712
A_25_P00010271	6.20924992708264
A_25_P00010272	5.74831521059242
A_25_P00010273	5.85272249969662
A_25_P00010274	9.17673935722307
A_25_P00010275	9.50193647728669
A_25_P00010276	7.8907845257085
A_25_P00010277	8.27047752329115
A_25_P00010278	7.24261453497213
A_25_P00010279	12.4725652938066
A_25_P00010280	11.4392580332969
A_25_P00010281	11.0207053421481
A_25_P00010282	12.4068310402176
A_25_P00010283	6.57137591318045
A_25_P00010284	6.18771931531904
A_25_P00010285	11.0434679982884
A_25_P00010286	9.48865970376781
A_25_P00010287	8.39253351119433
A_25_P00010288	9.10150813612511
A_25_P00010291	5.76740504252823
A_25_P00010292	5.73140988837581
A_25_P00010293	5.67498255237578
A_25_P00010294	5.71656831882768
A_25_P00010295	6.46040442784244
A_25_P00010296	5.88846061544459
A_25_P00010305	12.2258436383444
A_25_P00010306	10.5330653469959
A_25_P00010309	5.73770256663657
A_25_P00010310	5.75259296988649
A_25_P00010311	5.72690280335862
A_25_P00010312	5.72835858168655
A_25_P00010313	5.82301919529411
A_25_P00010315	12.8755225429045
A_25_P00010316	13.3885471880374
A_25_P00010317	14.0363010532016
A_25_P00010318	13.8012684383831
A_25_P00010321	5.74851349214286
A_25_P00010322	5.71646143019792
A_25_P00010323	5.79310681932001
A_25_P00010324	5.75241229835008
A_25_P00010325	6.57182616684722
A_25_P00010326	6.31595646850902
A_25_P00010327	6.31430194514677
A_25_P00010328	5.85703040844474
A_25_P00010329	5.80301404274111
A_25_P00010330	5.911201560043
A_25_P00010331	5.97268994860785
A_25_P00010332	6.06483397485936
A_25_P00010333	6.13787991452279
A_25_P00010334	6.32511674207516
A_25_P00010335	5.84890791717438
A_25_P00010336	5.74459055346172
A_25_P00010337	5.7520211106892
A_25_P00010338	5.89685969181022
A_25_P00010339	5.78951509700015
A_25_P00010340	5.72297762340593
A_25_P00010341	5.70486674631269
